id,synsetId,subSynsetId,modelId,split
028724,6,6,028724,train
002354,49,49,002354,train
011636,30,30,011636,train
005806,49,49,005806,train
038498,49,49,038498,train
010553,19,19,010553,train
047419,52,52,047419,train
003562,33,33,003562,train
022983,18,18,022983,train
040003,49,49,040003,train
024208,18,18,024208,train
028468,18,18,028468,train
043832,0,0,043832,train
046991,49,49,046991,train
038660,49,49,038660,train
027967,30,30,027967,train
014310,48,48,014310,train
032006,12,12,032006,train
025072,41,41,025072,train
010094,44,44,010094,train
044805,32,32,044805,train
033004,18,18,033004,train
007945,38,38,007945,train
008151,54,54,008151,train
046547,32,32,046547,train
010681,8,8,010681,train
036935,47,47,036935,train
032063,53,53,032063,train
044226,11,11,044226,train
031870,49,49,031870,train
009985,22,22,009985,train
006540,18,18,006540,train
035460,18,18,035460,train
034417,1,1,034417,train
016938,18,18,016938,train
028115,42,42,028115,train
018117,32,32,018117,train
011801,49,49,011801,train
039814,49,49,039814,train
000960,47,47,000960,train
014188,6,6,014188,train
038766,30,30,038766,train
033075,24,24,033075,train
029186,47,47,029186,train
011471,22,22,011471,train
011082,47,47,011082,train
031047,18,18,031047,train
024928,6,6,024928,train
018284,49,49,018284,train
034632,32,32,034632,train
050189,0,0,050189,train
048302,6,6,048302,train
018305,41,41,018305,train
000950,41,41,000950,train
030760,16,16,030760,train
035243,29,29,035243,train
028403,47,47,028403,train
025385,0,0,025385,train
036219,0,0,036219,train
014525,32,32,014525,train
020649,30,30,020649,train
044234,0,0,044234,train
035800,49,49,035800,train
025450,49,49,025450,train
003646,24,24,003646,train
046146,32,32,046146,train
021928,26,26,021928,train
042779,47,47,042779,train
006254,0,0,006254,train
021076,38,38,021076,train
009250,19,19,009250,train
028971,18,18,028971,train
006190,44,44,006190,train
049930,0,0,049930,train
030207,18,18,030207,train
043877,16,16,043877,train
038338,54,54,038338,train
019432,49,49,019432,train
044172,18,18,044172,train
001725,18,18,001725,train
024409,27,27,024409,train
012617,16,16,012617,train
027736,49,49,027736,train
044985,16,16,044985,train
043382,18,18,043382,train
047746,8,8,047746,train
041440,16,16,041440,train
023424,49,49,023424,train
032871,48,48,032871,train
035033,0,0,035033,train
049954,49,49,049954,train
046246,47,47,046246,train
033787,18,18,033787,train
044540,12,12,044540,train
044275,44,44,044275,train
000819,49,49,000819,train
003533,16,16,003533,train
044852,18,18,044852,train
042694,16,16,042694,train
048859,31,31,048859,train
006184,30,30,006184,train
000696,18,18,000696,train
013598,49,49,013598,train
041777,0,0,041777,train
033958,1,1,033958,train
016825,44,44,016825,train
014766,18,18,014766,train
032306,47,47,032306,train
037542,47,47,037542,train
015329,49,49,015329,train
018691,44,44,018691,train
020619,49,49,020619,train
003574,12,12,003574,train
012702,30,30,012702,train
047955,16,16,047955,train
030055,53,53,030055,train
030498,49,49,030498,train
039122,6,6,039122,train
021700,16,16,021700,train
007450,53,53,007450,train
050585,49,49,050585,train
043601,0,0,043601,train
041908,53,53,041908,train
033172,18,18,033172,train
016090,50,50,016090,train
025955,47,47,025955,train
007463,18,18,007463,train
002958,14,14,002958,train
016888,0,0,016888,train
022558,18,18,022558,train
021761,35,35,021761,train
030155,49,49,030155,train
033972,49,49,033972,train
002628,18,18,002628,train
030766,0,0,030766,train
035873,18,18,035873,train
008124,47,47,008124,train
025958,37,37,025958,train
028720,0,0,028720,train
048024,16,16,048024,train
043549,42,42,043549,train
023741,52,52,023741,train
026046,1,1,026046,train
033204,0,0,033204,train
026646,25,25,026646,train
007652,6,6,007652,train
031295,17,17,031295,train
022685,8,8,022685,train
039890,49,49,039890,train
011967,46,46,011967,train
020924,30,30,020924,train
037319,18,18,037319,train
030743,49,49,030743,train
044162,28,28,044162,train
048291,18,18,048291,train
001198,44,44,001198,train
036144,49,49,036144,train
010714,49,49,010714,train
018763,19,19,018763,train
007363,44,44,007363,train
027278,40,40,027278,train
017826,49,49,017826,train
012530,44,44,012530,train
028682,49,49,028682,train
037919,47,47,037919,train
007663,32,32,007663,train
039226,49,49,039226,train
001418,11,11,001418,train
045684,0,0,045684,train
048230,0,0,048230,train
037680,6,6,037680,train
018255,49,49,018255,train
008796,49,49,008796,train
017020,21,21,017020,train
022901,18,18,022901,train
005857,49,49,005857,train
007187,49,49,007187,train
004406,0,0,004406,train
031620,49,49,031620,train
035537,16,16,035537,train
043998,30,30,043998,train
032621,16,16,032621,train
044229,30,30,044229,train
040058,49,49,040058,train
001925,0,0,001925,train
040383,44,44,040383,train
001866,30,30,001866,train
039771,37,37,039771,train
022343,25,25,022343,train
030963,47,47,030963,train
034553,6,6,034553,train
049648,12,12,049648,train
035503,0,0,035503,train
045077,47,47,045077,train
047579,16,16,047579,train
019481,18,18,019481,train
026695,31,31,026695,train
041779,32,32,041779,train
001998,16,16,001998,train
038281,21,21,038281,train
050594,16,16,050594,train
032341,31,31,032341,train
027756,16,16,027756,train
012556,0,0,012556,train
013429,0,0,013429,train
047407,28,28,047407,train
041905,30,30,041905,train
007308,6,6,007308,train
020931,36,36,020931,train
027798,12,12,027798,train
009170,30,30,009170,train
050932,28,28,050932,train
024402,25,25,024402,train
009406,6,6,009406,train
002481,11,11,002481,train
046481,18,18,046481,train
002755,16,16,002755,train
002917,53,53,002917,train
023444,6,6,023444,train
011125,32,32,011125,train
017872,0,0,017872,train
001697,41,41,001697,train
005984,49,49,005984,train
000642,1,1,000642,train
034412,46,46,034412,train
036626,49,49,036626,train
043593,18,18,043593,train
044622,32,32,044622,train
006737,53,53,006737,train
024812,16,16,024812,train
030677,49,49,030677,train
009476,18,18,009476,train
035414,53,53,035414,train
012046,4,4,012046,train
050783,6,6,050783,train
033887,32,32,033887,train
000211,18,18,000211,train
041840,0,0,041840,train
007006,47,47,007006,train
049139,0,0,049139,train
009976,49,49,009976,train
006368,49,49,006368,train
014484,44,44,014484,train
031553,24,24,031553,train
023935,12,12,023935,train
022182,18,18,022182,train
026422,49,49,026422,train
009349,44,44,009349,train
038872,47,47,038872,train
015734,49,49,015734,train
006029,18,18,006029,train
019899,18,18,019899,train
000757,49,49,000757,train
038354,32,32,038354,train
047290,30,30,047290,train
018849,44,44,018849,train
020847,29,29,020847,train
001944,36,36,001944,train
010766,32,32,010766,train
032896,49,49,032896,train
034084,0,0,034084,train
005802,19,19,005802,train
048372,18,18,048372,train
040151,28,28,040151,train
031425,18,18,031425,train
045179,49,49,045179,train
014826,5,5,014826,train
043756,49,49,043756,train
050995,22,22,050995,train
006982,49,49,006982,train
013929,18,18,013929,train
020686,49,49,020686,train
010148,18,18,010148,train
044644,16,16,044644,train
010769,44,44,010769,train
028743,18,18,028743,train
045618,18,18,045618,train
050526,43,43,050526,train
003171,41,41,003171,train
041210,16,16,041210,train
048753,18,18,048753,train
041611,53,53,041611,train
024577,32,32,024577,train
015657,35,35,015657,train
002899,19,19,002899,train
004418,28,28,004418,train
033081,28,28,033081,train
045602,18,18,045602,train
008545,52,52,008545,train
042278,16,16,042278,train
026187,49,49,026187,train
015460,18,18,015460,train
038270,27,27,038270,train
045340,0,0,045340,train
021712,24,24,021712,train
037581,17,17,037581,train
008874,49,49,008874,train
033842,49,49,033842,train
025019,34,34,025019,train
021002,31,31,021002,train
019305,24,24,019305,train
029343,32,32,029343,train
005484,18,18,005484,train
007026,49,49,007026,train
034593,50,50,034593,train
049447,18,18,049447,train
014331,6,6,014331,train
001585,32,32,001585,train
010288,47,47,010288,train
017717,18,18,017717,train
025621,0,0,025621,train
001662,19,19,001662,train
031529,16,16,031529,train
003973,0,0,003973,train
046524,9,9,046524,train
033279,26,26,033279,train
023546,47,47,023546,train
013568,49,49,013568,train
002818,43,43,002818,train
001089,28,28,001089,train
000984,1,1,000984,train
046422,47,47,046422,train
005176,49,49,005176,train
018926,0,0,018926,train
039679,11,11,039679,train
037601,49,49,037601,train
002382,17,17,002382,train
039212,16,16,039212,train
041455,53,53,041455,train
019926,28,28,019926,train
042187,18,18,042187,train
051319,44,44,051319,train
048151,18,18,048151,train
030480,47,47,030480,train
041727,49,49,041727,train
002603,25,25,002603,train
038957,30,30,038957,train
033849,51,51,033849,train
033412,10,10,033412,train
023825,53,53,023825,train
014546,36,36,014546,train
020114,4,4,020114,train
051357,30,30,051357,train
046707,19,19,046707,train
014043,44,44,014043,train
000622,50,50,000622,train
034401,18,18,034401,train
029902,18,18,029902,train
013218,11,11,013218,train
036077,9,9,036077,train
017433,49,49,017433,train
025665,17,17,025665,train
042852,0,0,042852,train
001789,11,11,001789,train
030042,49,49,030042,train
031997,18,18,031997,train
010144,6,6,010144,train
034335,6,6,034335,train
026691,47,47,026691,train
042025,16,16,042025,train
031845,0,0,031845,train
042258,18,18,042258,train
017632,53,53,017632,train
007183,18,18,007183,train
028964,16,16,028964,train
016161,9,9,016161,train
022295,30,30,022295,train
018820,19,19,018820,train
013707,49,49,013707,train
014564,49,49,014564,train
042505,18,18,042505,train
014701,30,30,014701,train
019161,18,18,019161,train
000282,49,49,000282,train
050994,32,32,050994,train
028653,28,28,028653,train
043448,0,0,043448,train
044117,49,49,044117,train
001781,18,18,001781,train
037046,16,16,037046,train
042391,3,3,042391,train
014011,22,22,014011,train
047353,49,49,047353,train
015156,32,32,015156,train
038860,31,31,038860,train
035839,32,32,035839,train
047737,6,6,047737,train
050809,30,30,050809,train
024400,24,24,024400,train
020358,18,18,020358,train
037135,0,0,037135,train
045734,0,0,045734,train
017482,49,49,017482,train
030527,18,18,030527,train
005544,49,49,005544,train
023347,30,30,023347,train
013901,49,49,013901,train
017408,40,40,017408,train
007317,13,13,007317,train
034056,11,11,034056,train
044152,16,16,044152,train
037307,47,47,037307,train
038152,12,12,038152,train
046384,16,16,046384,train
009528,47,47,009528,train
006147,47,47,006147,train
013679,11,11,013679,train
013091,26,26,013091,train
013352,41,41,013352,train
050762,18,18,050762,train
048758,24,24,048758,train
021913,49,49,021913,train
023471,49,49,023471,train
007446,29,29,007446,train
009468,53,53,009468,train
004180,47,47,004180,train
028131,49,49,028131,train
039297,17,17,039297,train
011946,12,12,011946,train
020279,47,47,020279,train
032514,0,0,032514,train
036261,53,53,036261,train
022995,16,16,022995,train
048998,32,32,048998,train
034912,53,53,034912,train
033422,1,1,033422,train
033435,30,30,033435,train
011528,9,9,011528,train
039914,26,26,039914,train
019637,1,1,019637,train
043827,53,53,043827,train
037388,29,29,037388,train
016929,18,18,016929,train
004359,6,6,004359,train
015174,44,44,015174,train
027230,31,31,027230,train
033770,49,49,033770,train
013819,48,48,013819,train
049479,38,38,049479,train
033358,53,53,033358,train
024891,41,41,024891,train
011405,49,49,011405,train
023133,0,0,023133,train
018640,30,30,018640,train
021840,22,22,021840,train
021495,0,0,021495,train
007520,17,17,007520,train
025010,49,49,025010,train
044327,22,22,044327,train
014217,24,24,014217,train
050251,4,4,050251,train
007443,32,32,007443,train
024266,38,38,024266,train
043117,18,18,043117,train
017465,18,18,017465,train
004639,16,16,004639,train
031554,6,6,031554,train
048433,50,50,048433,train
031094,18,18,031094,train
019339,53,53,019339,train
010888,4,4,010888,train
000976,49,49,000976,train
010558,36,36,010558,train
043614,49,49,043614,train
037417,31,31,037417,train
019283,44,44,019283,train
041540,4,4,041540,train
048898,31,31,048898,train
012429,18,18,012429,train
007918,18,18,007918,train
025381,16,16,025381,train
019171,31,31,019171,train
047178,32,32,047178,train
007930,38,38,007930,train
042984,4,4,042984,train
007628,37,37,007628,train
046303,25,25,046303,train
002453,12,12,002453,train
020726,30,30,020726,train
015995,49,49,015995,train
007622,44,44,007622,train
051603,7,7,051603,train
039053,28,28,039053,train
046498,47,47,046498,train
042758,49,49,042758,train
045328,49,49,045328,train
035018,0,0,035018,train
034799,40,40,034799,train
023000,49,49,023000,train
014841,13,13,014841,train
018138,49,49,018138,train
018644,53,53,018644,train
046032,0,0,046032,train
032886,49,49,032886,train
038526,18,18,038526,train
025942,49,49,025942,train
007748,18,18,007748,train
032761,49,49,032761,train
008447,28,28,008447,train
024271,30,30,024271,train
036435,16,16,036435,train
041792,16,16,041792,train
051081,53,53,051081,train
027459,18,18,027459,train
016079,0,0,016079,train
023022,30,30,023022,train
046684,10,10,046684,train
034920,17,17,034920,train
047116,18,18,047116,train
010544,49,49,010544,train
000018,30,30,000018,train
045281,44,44,045281,train
034828,50,50,034828,train
026832,18,18,026832,train
028546,18,18,028546,train
032932,4,4,032932,train
041562,18,18,041562,train
048060,16,16,048060,train
000200,0,0,000200,train
001573,16,16,001573,train
031707,47,47,031707,train
048087,12,12,048087,train
036029,16,16,036029,train
049309,18,18,049309,train
032682,0,0,032682,train
015574,18,18,015574,train
024944,49,49,024944,train
006319,49,49,006319,train
031513,24,24,031513,train
019603,6,6,019603,train
006089,18,18,006089,train
040993,19,19,040993,train
037752,18,18,037752,train
002876,0,0,002876,train
023315,0,0,023315,train
002483,18,18,002483,train
008974,51,51,008974,train
047293,18,18,047293,train
032792,16,16,032792,train
016880,18,18,016880,train
043095,0,0,043095,train
019757,18,18,019757,train
027964,47,47,027964,train
038781,40,40,038781,train
014785,47,47,014785,train
028649,11,11,028649,train
042083,49,49,042083,train
042115,16,16,042115,train
040582,50,50,040582,train
044393,19,19,044393,train
037933,0,0,037933,train
009776,50,50,009776,train
051439,32,32,051439,train
030302,6,6,030302,train
019381,32,32,019381,train
000801,18,18,000801,train
035835,0,0,035835,train
001795,0,0,001795,train
049511,12,12,049511,train
034767,0,0,034767,train
038559,26,26,038559,train
039258,46,46,039258,train
036389,49,49,036389,train
024213,49,49,024213,train
037939,49,49,037939,train
017998,30,30,017998,train
008315,18,18,008315,train
021445,26,26,021445,train
042550,18,18,042550,train
026859,16,16,026859,train
032336,16,16,032336,train
015953,49,49,015953,train
007995,19,19,007995,train
010248,0,0,010248,train
004400,47,47,004400,train
028638,16,16,028638,train
011202,29,29,011202,train
051240,30,30,051240,train
034591,49,49,034591,train
019457,24,24,019457,train
041471,46,46,041471,train
034614,49,49,034614,train
031875,31,31,031875,train
045796,49,49,045796,train
038677,11,11,038677,train
003411,49,49,003411,train
027697,19,19,027697,train
005644,47,47,005644,train
033549,0,0,033549,train
048331,19,19,048331,train
051676,16,16,051676,train
023600,49,49,023600,train
001165,25,25,001165,train
031576,44,44,031576,train
005070,28,28,005070,train
013988,12,12,013988,train
035560,16,16,035560,train
014232,49,49,014232,train
031985,49,49,031985,train
046461,30,30,046461,train
010855,47,47,010855,train
035035,18,18,035035,train
014510,28,28,014510,train
045914,18,18,045914,train
032600,49,49,032600,train
014415,19,19,014415,train
025064,16,16,025064,train
021367,18,18,021367,train
020052,18,18,020052,train
026961,9,9,026961,train
049173,49,49,049173,train
012164,18,18,012164,train
031757,52,52,031757,train
001976,4,4,001976,train
048365,0,0,048365,train
022108,49,49,022108,train
000917,0,0,000917,train
033423,8,8,033423,train
012465,16,16,012465,train
002840,37,37,002840,train
006427,6,6,006427,train
028956,49,49,028956,train
046153,22,22,046153,train
034684,49,49,034684,train
046725,53,53,046725,train
040702,31,31,040702,train
036370,26,26,036370,train
047785,16,16,047785,train
021434,50,50,021434,train
019346,16,16,019346,train
025887,8,8,025887,train
044959,47,47,044959,train
002346,29,29,002346,train
030101,49,49,030101,train
019125,18,18,019125,train
000865,18,18,000865,train
016842,52,52,016842,train
009393,53,53,009393,train
049361,30,30,049361,train
004798,0,0,004798,train
015904,16,16,015904,train
037301,16,16,037301,train
011353,44,44,011353,train
050871,18,18,050871,train
047212,47,47,047212,train
021510,49,49,021510,train
041488,18,18,041488,train
011175,6,6,011175,train
006794,52,52,006794,train
040091,16,16,040091,train
004249,30,30,004249,train
006197,18,18,006197,train
009509,30,30,009509,train
006707,9,9,006707,train
021772,0,0,021772,train
028001,0,0,028001,train
051503,8,8,051503,train
050330,32,32,050330,train
051631,16,16,051631,train
012553,40,40,012553,train
037655,12,12,037655,train
000541,53,53,000541,train
035822,49,49,035822,train
022961,30,30,022961,train
043870,5,5,043870,train
045145,49,49,045145,train
027644,16,16,027644,train
001185,8,8,001185,train
023207,44,44,023207,train
043624,18,18,043624,train
044298,41,41,044298,train
043429,30,30,043429,train
006448,49,49,006448,train
019212,49,49,019212,train
038707,0,0,038707,train
022277,49,49,022277,train
043414,40,40,043414,train
032383,47,47,032383,train
008361,52,52,008361,train
028953,6,6,028953,train
047300,16,16,047300,train
002810,18,18,002810,train
009757,53,53,009757,train
026221,30,30,026221,train
032553,6,6,032553,train
044421,29,29,044421,train
040899,49,49,040899,train
045130,18,18,045130,train
036996,16,16,036996,train
031850,18,18,031850,train
044178,0,0,044178,train
034337,0,0,034337,train
050966,18,18,050966,train
027922,30,30,027922,train
025567,18,18,025567,train
034492,0,0,034492,train
048335,49,49,048335,train
021078,49,49,021078,train
019122,16,16,019122,train
043778,49,49,043778,train
015381,16,16,015381,train
035001,44,44,035001,train
010312,32,32,010312,train
011708,49,49,011708,train
036563,8,8,036563,train
008125,17,17,008125,train
036783,47,47,036783,train
000058,41,41,000058,train
050293,52,52,050293,train
040755,9,9,040755,train
019862,44,44,019862,train
033837,11,11,033837,train
023206,30,30,023206,train
011504,47,47,011504,train
025130,6,6,025130,train
001312,49,49,001312,train
007839,6,6,007839,train
008533,49,49,008533,train
001116,36,36,001116,train
017952,16,16,017952,train
050684,29,29,050684,train
044740,32,32,044740,train
027571,0,0,027571,train
004499,24,24,004499,train
022166,0,0,022166,train
011720,26,26,011720,train
031555,18,18,031555,train
037463,4,4,037463,train
023645,49,49,023645,train
014218,47,47,014218,train
022789,53,53,022789,train
006231,6,6,006231,train
028126,1,1,028126,train
030285,25,25,030285,train
046386,29,29,046386,train
030554,41,41,030554,train
045468,28,28,045468,train
006600,16,16,006600,train
003257,26,26,003257,train
028305,47,47,028305,train
014458,0,0,014458,train
042212,11,11,042212,train
024996,16,16,024996,train
002888,49,49,002888,train
021175,30,30,021175,train
001042,17,17,001042,train
045834,40,40,045834,train
043349,18,18,043349,train
042217,53,53,042217,train
014080,44,44,014080,train
006203,49,49,006203,train
042107,27,27,042107,train
042780,19,19,042780,train
047308,16,16,047308,train
022368,44,44,022368,train
027886,18,18,027886,train
048452,12,12,048452,train
002388,4,4,002388,train
001889,17,17,001889,train
017081,40,40,017081,train
014148,49,49,014148,train
042429,6,6,042429,train
010385,22,22,010385,train
020693,16,16,020693,train
038464,11,11,038464,train
038146,24,24,038146,train
050169,8,8,050169,train
004902,18,18,004902,train
016093,32,32,016093,train
024592,22,22,024592,train
048120,6,6,048120,train
046852,36,36,046852,train
032688,18,18,032688,train
017549,11,11,017549,train
010897,44,44,010897,train
033520,18,18,033520,train
000175,49,49,000175,train
022134,53,53,022134,train
027563,47,47,027563,train
027302,6,6,027302,train
023884,49,49,023884,train
013165,46,46,013165,train
006380,49,49,006380,train
032238,49,49,032238,train
004999,26,26,004999,train
027594,51,51,027594,train
018875,49,49,018875,train
030755,26,26,030755,train
028902,40,40,028902,train
034018,16,16,034018,train
019048,47,47,019048,train
025744,0,0,025744,train
034170,53,53,034170,train
044264,28,28,044264,train
025940,15,15,025940,train
005234,18,18,005234,train
049982,44,44,049982,train
021918,12,12,021918,train
017585,44,44,017585,train
005808,38,38,005808,train
008214,0,0,008214,train
051148,38,38,051148,train
021401,50,50,021401,train
000556,49,49,000556,train
018621,18,18,018621,train
046008,22,22,046008,train
007582,18,18,007582,train
048659,12,12,048659,train
049376,53,53,049376,train
039487,49,49,039487,train
027461,31,31,027461,train
001807,16,16,001807,train
026064,0,0,026064,train
031963,18,18,031963,train
018434,16,16,018434,train
021178,49,49,021178,train
022232,49,49,022232,train
038887,49,49,038887,train
033907,26,26,033907,train
015825,22,22,015825,train
008414,16,16,008414,train
042335,50,50,042335,train
031731,28,28,031731,train
044000,18,18,044000,train
015672,18,18,015672,train
045924,38,38,045924,train
000685,9,9,000685,train
048440,47,47,048440,train
019107,32,32,019107,train
043225,47,47,043225,train
010479,0,0,010479,train
046883,39,39,046883,train
021606,18,18,021606,train
010322,11,11,010322,train
011939,49,49,011939,train
032091,47,47,032091,train
002507,20,20,002507,train
024269,48,48,024269,train
018641,54,54,018641,train
031769,18,18,031769,train
021991,1,1,021991,train
040249,47,47,040249,train
030266,53,53,030266,train
046589,49,49,046589,train
041664,28,28,041664,train
002509,50,50,002509,train
012048,19,19,012048,train
044468,18,18,044468,train
034988,32,32,034988,train
001409,6,6,001409,train
042602,18,18,042602,train
047812,49,49,047812,train
005474,18,18,005474,train
048948,18,18,048948,train
006607,28,28,006607,train
016049,0,0,016049,train
012300,11,11,012300,train
050296,47,47,050296,train
046013,2,2,046013,train
004032,31,31,004032,train
047519,47,47,047519,train
028650,49,49,028650,train
012140,12,12,012140,train
009731,18,18,009731,train
048840,35,35,048840,train
040442,11,11,040442,train
034101,11,11,034101,train
037408,29,29,037408,train
026549,16,16,026549,train
038936,50,50,038936,train
045647,8,8,045647,train
015245,30,30,015245,train
011765,0,0,011765,train
033419,4,4,033419,train
019440,0,0,019440,train
031294,27,27,031294,train
002143,30,30,002143,train
033080,44,44,033080,train
003318,0,0,003318,train
029614,9,9,029614,train
046241,53,53,046241,train
030987,18,18,030987,train
026253,52,52,026253,train
002367,49,49,002367,train
049631,50,50,049631,train
029099,12,12,029099,train
026210,17,17,026210,train
003215,0,0,003215,train
045840,31,31,045840,train
018479,31,31,018479,train
001848,53,53,001848,train
006887,49,49,006887,train
006242,18,18,006242,train
022716,52,52,022716,train
023322,32,32,023322,train
003155,49,49,003155,train
038638,49,49,038638,train
015777,38,38,015777,train
026029,0,0,026029,train
045853,30,30,045853,train
051121,0,0,051121,train
032144,16,16,032144,train
048447,53,53,048447,train
003546,38,38,003546,train
025645,18,18,025645,train
020427,26,26,020427,train
009395,53,53,009395,train
022529,0,0,022529,train
011172,49,49,011172,train
028333,22,22,028333,train
024274,53,53,024274,train
025780,12,12,025780,train
021108,0,0,021108,train
050971,19,19,050971,train
048498,16,16,048498,train
018670,11,11,018670,train
048960,19,19,048960,train
023195,22,22,023195,train
043378,44,44,043378,train
051216,18,18,051216,train
003267,49,49,003267,train
014599,47,47,014599,train
017205,18,18,017205,train
016250,32,32,016250,train
027946,18,18,027946,train
017395,0,0,017395,train
023319,11,11,023319,train
033400,49,49,033400,train
032691,49,49,032691,train
013257,30,30,013257,train
025120,22,22,025120,train
019063,47,47,019063,train
031699,49,49,031699,train
042454,49,49,042454,train
040204,16,16,040204,train
030309,32,32,030309,train
029740,49,49,029740,train
035766,53,53,035766,train
023510,41,41,023510,train
029125,44,44,029125,train
011154,44,44,011154,train
037704,25,25,037704,train
031921,12,12,031921,train
019588,47,47,019588,train
028798,36,36,028798,train
036114,36,36,036114,train
028032,22,22,028032,train
040746,12,12,040746,train
042395,49,49,042395,train
031733,35,35,031733,train
026617,49,49,026617,train
011853,26,26,011853,train
029406,49,49,029406,train
030290,16,16,030290,train
006191,9,9,006191,train
050068,0,0,050068,train
006604,53,53,006604,train
009542,50,50,009542,train
042821,29,29,042821,train
038494,30,30,038494,train
014688,49,49,014688,train
030932,32,32,030932,train
011782,49,49,011782,train
044026,28,28,044026,train
006216,16,16,006216,train
022161,48,48,022161,train
050677,28,28,050677,train
044285,6,6,044285,train
029911,6,6,029911,train
048851,49,49,048851,train
006255,0,0,006255,train
044782,30,30,044782,train
035384,4,4,035384,train
016439,53,53,016439,train
024412,47,47,024412,train
042493,49,49,042493,train
026292,25,25,026292,train
012274,30,30,012274,train
021006,16,16,021006,train
019742,0,0,019742,train
015946,0,0,015946,train
004983,0,0,004983,train
035485,52,52,035485,train
027201,29,29,027201,train
041591,47,47,041591,train
033984,29,29,033984,train
014926,49,49,014926,train
018036,0,0,018036,train
017113,16,16,017113,train
023864,4,4,023864,train
015269,30,30,015269,train
010956,44,44,010956,train
000067,32,32,000067,train
035045,39,39,035045,train
011931,30,30,011931,train
034842,18,18,034842,train
031858,29,29,031858,train
044871,47,47,044871,train
